precio|producto_id|sucursal_id
999.99|9-1-0000000965811|9-1-690
999.99|9-1-0000000957021|9-1-690
999.99|9-1-0000000956956|9-1-690
999.99|9-1-0000000956925|9-1-690
999.99|9-1-0000000956888|9-1-690
999.99|9-1-0000000956840|9-1-690
999.99|9-1-0000000956833|9-1-690
999.99|9-1-0000000956796|9-1-690
999.99|9-1-0000000956765|9-1-690
999.99|9-1-0000000952323|9-1-690
999.99|9-1-0000000948272|9-1-690
999.99|9-1-0000000948203|9-1-690
999.99|9-1-0000000948166|9-1-690
999.99|7798176000018|36916
999.99|7798159942670|16-1-1502
999.99|7795323002444|36916
999.99|7794990865581|15-1-146
999.99|7791130065832|12-1-208
999.99|7791130065825|12-1-208
999.99|36-4-0200303100000|36-4-51
999.99|36-4-0200043400000|36-4-51
999.99|36-3-0200303100000|36-3-25
999.99|36-3-0200043400000|36-3-25
999.99|25-1-0000000019463|36916
999.95|7791600452735|38735
999.9|7500435112857|46028
999.9|5011013100132|39461
999.9|46-1-0000000051040|46-1-3
999.9|45-1-0000000051040|45-1-5
999.9|44-1-0000000051040|44-1-8
999.59|4005808843077|44233
999.59|4005808843077|39819
999|9-3-0000000910996|9-3-628
999|9-3-0000000304719|1213405
99.6|7622300160975|622506
99.59|7792150000940|44233
99.59|7792150000223|44233
99.59|7790590000858|19366
99.59|7790580509804|12-1-208
99.59|7790580509408|12-1-208
99.58|7790580509408|11-2-1114
99.57|7794990880201|35-1-1
99.57|7794990879663|35-1-1
99.57|7794990879656|35-1-1
99.57|7790828104457|38735
99.56|7798062549546|35-1-1
99.56|7798062544916|35-1-1
99.56|7798062544909|35-1-1
99.56|7798062544893|35-1-1
99.56|7798062543445|35-1-1
99.56|7798062543223|35-1-1
99.56|7798062543056|35-1-1
99.56|7798062540291|35-1-1
99.56|7790315000880|35-1-1
99.55|7793046007715|12-1-185
99.55|7790580259600|16-1-1402
99.55|7790387113327|44233
99.55|7790387113327|39819
99.55|7790150550441|329466
99.55|7790040887909|16-1-1502
99.54|7790580626600|35-1-1
99.52|7791290786530|47-1-1
99.51|7794820003787|623967
99.51|7794820001653|623967
99.51|7790199603184|2-1-206
99.51|7790070416179|11-2-1108
99.51|7790070320001|11-5-1002
99.51|7790070320001|11-2-1015
99.5|9-1-0000000905244|9-1-690
99.5|9-1-0000000905022|9-1-690
99.5|7798146691802|36911
99.5|7798146691512|38006
99.5|7798146691314|36911
99.5|7798143077968|11-2-1115
99.5|7798143077951|11-2-1115
99.5|7798128410094|9-3-628
99.5|7798128410094|9-2-248
99.5|7798128410094|9-1-150
99.5|7798123135503|11-5-1057
99.5|7794990878932|36920
99.5|7793940963001|36916
99.5|7793559000159|36911
99.5|7793360816505|11-5-1020
99.5|7793360815003|11-5-1020
99.5|7793360815003|11-2-1081
99.5|7793360811401|11-5-1020
99.5|7793253001414|11-2-1114
99.5|7793253001384|11-2-1114
99.5|7793253001360|11-2-1114
99.5|7792710000380|16-1-1402
99.5|7792594000162|18303
99.5|7792594000162|9-1-122
99.5|7791905003724|11-2-1056
99.5|7791905003694|11-2-1056
99.5|7791905002529|11-2-1116
99.5|7791520024333|11-5-1002
99.5|7791337913523|37626
99.5|7791337613027|37626
99.5|7791293027982|45-1-5
99.5|7791293025261|45-1-5
99.5|7791293025247|45-1-5
99.5|7791293025223|45-1-5
99.5|7791290786530|46-1-3
99.5|7791290786530|44-1-8
99.5|7791290011953|38723
99.5|7791290011922|38723
99.5|7791290011908|38723
99.5|7791290010741|45-1-5
99.5|7791274196546|622506
99.5|7790742196606|36916
99.5|7790696000707|13-1-130
99.5|7790539000666|16-1-1402
99.5|7790520005168|36911
99.5|7790520001252|38006
99.5|7790520001245|38006
99.5|7790520001221|38006
99.5|7790127000122|11-5-1002
99.5|7790079019692|36911
99.5|7790070411792|16-1-1302
99.5|7790070411730|292941
99.5|7790040174900|11-5-1014
99.5|7790010595698|10-1-233
99.5|7509546066776|36911
99.5|7509546061160|36911
99.5|7509546003122|36911
99.5|7506339395518|11-2-1056
99.5|7-1-0024013800000|12791
99.5|2920548700003|19369
99.49|7798062549843|12-1-208
99.49|7798062542455|12-1-208
99.49|7798062542073|12-1-208
99.49|7798062541700|12-1-149
99.49|7798062541014|12-1-149
99.49|7798062540291|12-1-149
99.49|7798062540284|12-1-149
99.49|7798060850101|16-1-1502
99.49|7798060850026|15-1-146
99.49|7798060850026|11-4-1030
99.49|7798060850026|11-2-1116
99.49|7793360815003|11-2-1099
99.49|7792900809007|12791
99.49|7792710000182|12791
99.49|7792390621042|16-1-902
99.49|7792390621028|16-1-1402
99.49|7792220885507|15-1-146
99.49|7791813555049|15-1-146
99.49|7791813421580|15-1-146
99.49|7791813421528|15-1-146
99.49|7791813421054|15-1-146
99.49|7791620002293|39455
99.49|7790645001120|38735
99.49|7790520017352|35-1-1
99.49|7790315001061|12-1-208
99.49|7790315000934|12-1-208
99.49|7790315000910|12-1-208
99.49|7790315000880|12-1-149
99.49|7613035161603|36-3-25
99.49|7-1-0024075600000|13522
99.47|7793253003081|35-1-1
99.47|7793253002916|35-1-1
99.47|7793253002183|35-1-1
99.47|7793253002176|35-1-1
99.47|7793253002145|35-1-1
99.47|7791290012479|38735
99.46|7797470133637|47-1-1
99.46|7790703168314|9-1-242
99.46|7790703102196|9-1-242
99.46|7790703002595|9-1-242
99.45|7798135762551|47-1-1
99.45|7798135762544|47-1-1
99.45|7798135762315|47-1-1
99.45|7798135762308|47-1-1
99.45|7798135762292|47-1-1
99.45|7798135762148|47-1-1
99.45|7798135762131|47-1-1
99.45|7798123135183|11-4-1046
99.45|7798123135183|11-2-1007
99.45|7798105581410|11-5-1020
99.45|7798105581403|11-5-1020
99.45|7794000598508|10-2-286
99.45|7793046008439|12-1-185
99.43|7794000598591|11-5-1058
99.43|7794000598591|11-2-1013
99.43|7794000598461|11-5-1058
99.43|7794000598461|11-2-1013
99.4|7794770100451|623967
99.4|7794520441124|11-5-1020
99.4|7794520431125|11-5-1020
99.4|7794440002481|11-5-1057
99.4|7790524000534|11-5-1003
99.4|7790520023995|625793
99.4|7790310007037|11-5-1004
99.4|6901035601030|10-2-141
99.39|7796679000252|12791
99.39|7790250056799|11-4-1046
99.39|7790250022442|46028
99.39|7790079019692|44233
99.39|7790079019692|39819
99.36|7798082743931|2-1-101
99.35|7798096051244|38723
99.35|7791520009767|44233
99.35|7791520009767|39819
99.35|7791520009750|44233
99.35|7791520009750|39819
99.35|7791520009743|44233
99.35|7791520009743|39819
99.35|7791520009736|44233
99.35|7791520009736|39819
99.35|7791520009729|44233
99.35|7791520009729|39819
99.35|7790580432409|36916
99.35|7790524000534|16-1-1402
99.33|7798153712620|11-2-1013
99.3|7798270243861|400804
99.3|7798105581397|623967
99.3|7793253341527|37626
99.3|7793253341510|37626
99.3|7793253001018|37626
99.3|7793253001001|37626
99.3|7793253000974|37626
99.3|7791828900025|623967
99.3|7791293025247|11-2-1115
99.3|7790310003039|11-5-1014
99.3|7790310003022|11-5-1014
99.3|7790060072996|36911
99.3|7790060070626|36911
99.3|7790060070541|36911
99.3|7790045004912|37626
99.3|7790045001850|37626
99.3|7790010614849|11-5-1058
99.3|7790010599269|622506
99.3|7790010599269|11-2-1061
99.29|7804922000727|44233
99.29|7804922000727|39819
99.29|7791520055597|44233
99.29|7791520055597|39819
99.29|7791520050592|44233
99.29|7791520050592|39819
99.29|7790360967800|12791
99.29|7790360967794|13522
99.29|7752902087810|44233
99.29|7752902087810|39819
99.28|7792459000160|35-1-1
99.27|7793253001414|11-5-1057
99.27|7792798002528|47-1-1
99.27|7792798001972|47-1-1
99.27|7792798001965|47-1-1
99.25|7792860002920|44233
99.25|7792860002920|39819
99.25|7791708611379|38006
99.25|7790560000208|44233
99.25|7790560000208|39819
99.21|7797470001950|36916
99.21|7792798007493|11-5-1004
99.21|7792798007493|11-2-1013
99.21|7790645001786|47-1-1
99.2|7798122380218|621410
99.2|7791130683753|11-2-1116
99.2|7790580470807|622506
99.2|7790580470807|11-2-1061
99.2|7790520012524|11-5-1020
99.2|7790520012517|11-5-1020
99.2|7790071090415|623967
99.2|7790071090217|623967
99.2|7790071090217|11-2-1108
99.2|7790071090118|623967
99.2|7790071090118|11-2-1108
99.2|7790064001909|11-5-1057
99.2|7622300800260|625793
99.19|7793100130236|10-2-286
99.19|7793100130236|10-1-123
99.19|7792459000634|44233
99.19|7792459000634|39819
99.17|7790189041224|1213405
99.17|7790189041224|9-2-953
99.17|7790189041224|9-1-868
99.17|7790189041224|2-1-187
99.17|7790189041224|38735
99.17|7790189041224|16-1-1402
99.17|7790189041224|12-1-209
99.17|7790189041224|625793
99.17|7790189041224|11-2-1015
99.17|7790189041224|10-3-644
99.17|7790189041224|10-2-286
99.17|7790189041224|47128
99.15|7794612001687|44233
99.15|7794612001687|39819
99.15|7794000960138|44233
99.15|7794000960138|39819
99.15|7794000960138|11-2-1011
99.15|7791969029807|36928
99.15|7790580470807|16-1-1302
99.15|7790070031549|36928
99.15|7622210649263|44233
99.15|7622210649263|39819
99.15|4005900122186|36928
99.14|7622300160975|35-1-1
99.13|7798153718714|623967
99.11|7798239780130|21195
99.11|7790580112639|35-1-1
99.1|7798181510267|622506
99.1|7798181510014|622506
99.1|7798181510014|11-2-1061
85.95|7791843010129|292941
85.95|7791828000121|16-1-702
85.95|7791813421580|292941
85.95|7791813421351|292941
85.95|7791337602090|16-1-702
85.95|7791337602014|16-1-702
85.95|7791293027777|16-1-702
85.95|7790590000858|16-1-702
85.95|7790580120702|292941
85.95|7790387120363|292941
85.95|7790314055522|292941
85.95|7790310980415|16-1-902
85.95|7790250014904|292941
85.95|7790168000266|35-1-1
85.95|7790070318909|292941
85.95|7622300847234|16-1-902
85.93|7793360674105|47-1-1
85.92|7790770002863|47-1-1
85.9|7798327950117|46-1-3
85.9|7798327950117|45-1-5
85.9|7798327950117|44-1-8
85.9|7798327950100|46-1-3
85.9|7798327950100|45-1-5
85.9|7798327950100|44-1-8
85.9|7798327950094|46-1-3
85.9|7798327950094|45-1-5
85.9|7798327950094|44-1-8
85.9|7798327950056|46-1-3
85.9|7798327950056|45-1-5
85.9|7798327950056|44-1-8
85.9|7798327950049|46-1-3
85.9|7798327950049|45-1-5
85.9|7798327950049|44-1-8
85.9|7798327950032|46-1-3
85.9|7798327950032|45-1-5
85.9|7798327950032|44-1-8
85.9|7798323008027|50-1-2
85.9|7798323008027|49-1-2
85.9|7798323008010|50-1-2
85.9|7798323008010|49-1-2
85.9|7798270240051|11-4-1030
85.9|7798176000599|46-1-3
85.9|7798176000599|44-1-8
85.9|7798135762315|39461
85.9|7798122380232|11-2-1110
85.9|7798118340141|46-1-3
85.9|7798118340141|44-1-8
85.9|7798105586439|11-2-1028
85.9|7798105586361|11-2-1029
85.9|7798105581397|11-4-1030
85.9|7798105581397|11-2-1029
85.9|7798048720174|13-1-130
85.9|7798048720082|13-1-130
85.9|7798031471120|50-1-2
85.9|7798031471120|49-1-2
85.9|7798031471113|50-1-2
85.9|7798031471113|49-1-2
85.9|7798031470123|50-1-2
85.9|7798031470123|49-1-2
85.9|7798013106910|10-2-272
85.9|7798013106910|45667
85.9|7798000350074|46-1-3
85.9|7798000350074|44-1-8
85.9|7797330100663|46-1-3
85.9|7797330100663|45-1-5
85.9|7797330100663|44-1-8
85.9|7797330100656|46-1-3
85.9|7797330100656|45-1-5
85.9|7797330100656|44-1-8
85.9|7797330100649|46-1-3
85.9|7797330100649|45-1-5
85.9|7797330100649|44-1-8
85.9|7797330004725|46-1-3
85.9|7797330004725|45-1-5
85.9|7797330004725|44-1-8
85.9|7796953215235|46-1-3
85.9|7796953215235|44-1-8
85.9|7796953215228|46-1-3
85.9|7796953215228|44-1-8
85.9|7796540100227|50-1-2
85.9|7796540100227|49-1-2
85.9|7795711005163|10-2-209
85.9|7795711005163|45667
85.9|7794990879823|9-2-583
85.9|7794990879823|39461
85.9|7794990878932|39461
85.9|7794990878925|9-2-583
85.9|7794990878925|39461
85.9|7794990878888|39461
85.9|7794940000758|50-1-2
85.9|7794940000758|49-1-2
85.9|7794520441124|16-1-702
85.9|7794270000176|39461
85.9|7794000960091|12-1-208
85.9|7793940198007|50-1-2
85.9|7793940198007|49-1-2
